X86 软路由|x86/64|generic
树莓派 4|bcm27xx/bcm2711|rpi-4
9Tripod X3568 V4|rockchip/armv8|9tripod_x3568-v4
AriaBoard Photonicat|rockchip/armv8|ariaboard_photonicat
AriaBoard Photonicat2|rockchip/armv8|ariaboard_photonicat2
ArmSoM Sige3|rockchip/armv8|armsom_sige3
ArmSoM Sige7|rockchip/armv8|armsom_sige7
Cyber Cyber3588 Aib|rockchip/armv8|cyber_cyber3588-aib
EZPro Mrkaio M68s|rockchip/armv8|ezpro_mrkaio-m68s
Firefly Roc Rk3328 Cc|rockchip/armv8|firefly_roc-rk3328-cc
Firefly Roc Rk3568 Pc|rockchip/armv8|firefly_roc-rk3568-pc
友善 Nanopc T4|rockchip/armv8|friendlyarm_nanopc-t4
友善 Nanopc T6|rockchip/armv8|friendlyarm_nanopc-t6
友善 Nanopi M5|rockchip/armv8|friendlyarm_nanopi-m5
友善 Nanopi R2c|rockchip/armv8|friendlyarm_nanopi-r2c
友善 Nanopi R2c Plus|rockchip/armv8|friendlyarm_nanopi-r2c-plus
友善 Nanopi R2s|rockchip/armv8|friendlyarm_nanopi-r2s
友善 Nanopi R2s Plus|rockchip/armv8|friendlyarm_nanopi-r2s-plus
友善 Nanopi R3s|rockchip/armv8|friendlyarm_nanopi-r3s
友善 Nanopi R4s|rockchip/armv8|friendlyarm_nanopi-r4s
友善 Nanopi R4s Enterprise|rockchip/armv8|friendlyarm_nanopi-r4s-enterprise
友善 Nanopi R4se|rockchip/armv8|friendlyarm_nanopi-r4se
友善 Nanopi R5c|rockchip/armv8|friendlyarm_nanopi-r5c
友善 Nanopi R5s|rockchip/armv8|friendlyarm_nanopi-r5s
友善 Nanopi R6c|rockchip/armv8|friendlyarm_nanopi-r6c
友善 Nanopi R6s|rockchip/armv8|friendlyarm_nanopi-r6s
友善 Nanopi R76s|rockchip/armv8|friendlyarm_nanopi-r76s
Huake Guangmiao G4c|rockchip/armv8|huake_guangmiao-g4c
LinkEase Easepi R1|rockchip/armv8|linkease_easepi-r1
Lunzn Fastrhino R66s|rockchip/armv8|lunzn_fastrhino-r66s
Lunzn Fastrhino R68s|rockchip/armv8|lunzn_fastrhino-r68s
LYT T68m|rockchip/armv8|lyt_t68m
MMBOX Anas3035|rockchip/armv8|mmbox_anas3035
NLnet Xiguapi V3|rockchip/armv8|nlnet_xiguapi-v3
Pine64 Rock64|rockchip/armv8|pine64_rock64
Pine64 Rockpro64|rockchip/armv8|pine64_rockpro64
瑞莎 Cm3 Io|rockchip/armv8|radxa_cm3-io
瑞莎 E20c|rockchip/armv8|radxa_e20c
瑞莎 E25|rockchip/armv8|radxa_e25
瑞莎 E52c|rockchip/armv8|radxa_e52c
瑞莎 Rock 2a|rockchip/armv8|radxa_rock-2a
瑞莎 Rock 2f|rockchip/armv8|radxa_rock-2f
瑞莎 Rock 3a|rockchip/armv8|radxa_rock-3a
瑞莎 Rock 3b|rockchip/armv8|radxa_rock-3b
瑞莎 Rock 3c|rockchip/armv8|radxa_rock-3c
瑞莎 Rock 4c Plus|rockchip/armv8|radxa_rock-4c-plus
瑞莎 Rock 4d|rockchip/armv8|radxa_rock-4d
瑞莎 Rock 4se|rockchip/armv8|radxa_rock-4se
瑞莎 Rock 5 Itx|rockchip/armv8|radxa_rock-5-itx
瑞莎 Rock 5a|rockchip/armv8|radxa_rock-5a
瑞莎 Rock 5b|rockchip/armv8|radxa_rock-5b
瑞莎 Rock 5b Plus|rockchip/armv8|radxa_rock-5b-plus
瑞莎 Rock 5c|rockchip/armv8|radxa_rock-5c
瑞莎 Rock 5t|rockchip/armv8|radxa_rock-5t
瑞莎 Rock Pi 4a|rockchip/armv8|radxa_rock-pi-4a
瑞莎 Rock Pi E|rockchip/armv8|radxa_rock-pi-e
瑞莎 Rock Pi S|rockchip/armv8|radxa_rock-pi-s
瑞莎 Zero 3e|rockchip/armv8|radxa_zero-3e
瑞莎 Zero 3w|rockchip/armv8|radxa_zero-3w
香蕉派 Bpi R2 Pro|rockchip/armv8|sinovoip_bpi-r2-pro
Widora Mangopi M28c|rockchip/armv8|widora_mangopi-m28c
Widora Mangopi M28k|rockchip/armv8|widora_mangopi-m28k
香橙派 Orangepi 5|rockchip/armv8|xunlong_orangepi-5
香橙派 Orangepi 5 Plus|rockchip/armv8|xunlong_orangepi-5-plus
香橙派 Orangepi R1 Plus|rockchip/armv8|xunlong_orangepi-r1-plus
香橙派 Orangepi R1 Plus Lts|rockchip/armv8|xunlong_orangepi-r1-plus-lts
中国移动 Mr3000d Ci|qualcommax/ipq50xx|cmcc_mr3000d-ci
中国移动 Pz L8|qualcommax/ipq50xx|cmcc_pz-l8
日电 Wrc X3000gs2|qualcommax/ipq50xx|elecom_wrc-x3000gs2
日电 Wrc X3000gst2|qualcommax/ipq50xx|elecom_wrc-x3000gst2
GL.iNet Gl B3000|qualcommax/ipq50xx|glinet_gl-b3000
I-O Data Wn Dax3000gr|qualcommax/ipq50xx|iodata_wn-dax3000gr
领势 Mr5500|qualcommax/ipq50xx|linksys_mr5500
领势 Mx2000|qualcommax/ipq50xx|linksys_mx2000
领势 Mx5500|qualcommax/ipq50xx|linksys_mx5500
领势 Mx6200|qualcommax/ipq50xx|linksys_mx6200
领势 Spnmx56|qualcommax/ipq50xx|linksys_spnmx56
小米 Ax6000|qualcommax/ipq50xx|xiaomi_ax6000
小米 Redmi Ax5400|qualcommax/ipq50xx|xiaomi_redmi-ax5400
云核 Ax830|qualcommax/ipq50xx|yuncore_ax830
云核 Ax850|qualcommax/ipq50xx|yuncore_ax850
合勤 Scr50axe|qualcommax/ipq50xx|zyxel_scr50axe
8Devices Mango Dvk|qualcommax/ipq60xx|8devices_mango-dvk
阿尔法 Ap120c Ax|qualcommax/ipq60xx|alfa-network_ap120c-ax
Anysafe E1|qualcommax/ipq60xx|anysafe_e1
Cambium Xe3 4|qualcommax/ipq60xx|cambiumnetworks_xe3-4
中国移动 Ax18|qualcommax/ipq60xx|cmiot_ax18
Dptech Ap3000 2c|qualcommax/ipq60xx|dptech_ap3000-2c
GL.iNet Gl Ax1800|qualcommax/ipq60xx|glinet_gl-ax1800
GL.iNet Gl Axt1800|qualcommax/ipq60xx|glinet_gl-axt1800
京东云 Re Cs 02|qualcommax/ipq60xx|jdcloud_re-cs-02
京东云 Re Cs 07|qualcommax/ipq60xx|jdcloud_re-cs-07
京东云 Re Ss 01|qualcommax/ipq60xx|jdcloud_re-ss-01
Link Nn6000 V1|qualcommax/ipq60xx|link_nn6000-v1
Link Nn6000 V2|qualcommax/ipq60xx|link_nn6000-v2
领势 Mr7350|qualcommax/ipq60xx|linksys_mr7350
领势 Mr7500|qualcommax/ipq60xx|linksys_mr7500
网件 Rbr350|qualcommax/ipq60xx|netgear_rbr350
网件 Rbs350|qualcommax/ipq60xx|netgear_rbs350
网件 Wax214|qualcommax/ipq60xx|netgear_wax214
网件 Wax610|qualcommax/ipq60xx|netgear_wax610
网件 Wax610y|qualcommax/ipq60xx|netgear_wax610y
飞利浦 Ly1800|qualcommax/ipq60xx|philips_ly1800
360 360v6|qualcommax/ipq60xx|qihoo_360v6
红米 Ax5|qualcommax/ipq60xx|redmi_ax5
红米 Ax5 Jdcloud|qualcommax/ipq60xx|redmi_ax5-jdcloud
SY Y6010|qualcommax/ipq60xx|sy_y6010
TP-Link Eap610 Outdoor|qualcommax/ipq60xx|tplink_eap610-outdoor
TP-Link Eap620 Hd V3|qualcommax/ipq60xx|tplink_eap620-hd-v3
TP-Link Eap623 Outdoor Hd V1|qualcommax/ipq60xx|tplink_eap623-outdoor-hd-v1
TP-Link Eap625 Outdoor Hd V1|qualcommax/ipq60xx|tplink_eap625-outdoor-hd-v1
小米 Ax1800|qualcommax/ipq60xx|xiaomi_ax1800
云核 Fap650|qualcommax/ipq60xx|yuncore_fap650
ZN M2|qualcommax/ipq60xx|zn_m2
阿里云 Ap8220|qualcommax/ipq807x|aliyun_ap8220
智易 Aw1000|qualcommax/ipq807x|arcadyan_aw1000
Arista Ap C260|qualcommax/ipq807x|arista_ap-c260
Arista Ap C360|qualcommax/ipq807x|arista_ap-c360
华硕 Rt Ax89x|qualcommax/ipq807x|asus_rt-ax89x
巴法络 Wxr 5950ax12|qualcommax/ipq807x|buffalo_wxr-5950ax12
中国移动 Rm2 6|qualcommax/ipq807x|cmcc_rm2-6
Compex Wpq873|qualcommax/ipq807x|compex_wpq873
Dynalink Dl Wrx36|qualcommax/ipq807x|dynalink_dl-wrx36
智邦 Eap102|qualcommax/ipq807x|edgecore_eap102
Edimax Cax1800|qualcommax/ipq807x|edimax_cax1800
领势 Homewrk|qualcommax/ipq807x|linksys_homewrk
领势 Mx|qualcommax/ipq807x|linksys_mx
领势 Mx4200v1|qualcommax/ipq807x|linksys_mx4200v1
领势 Mx4200v2|qualcommax/ipq807x|linksys_mx4200v2
领势 Mx4300|qualcommax/ipq807x|linksys_mx4300
领势 Mx4x00|qualcommax/ipq807x|linksys_mx4x00
领势 Mx5300|qualcommax/ipq807x|linksys_mx5300
领势 Mx8500|qualcommax/ipq807x|linksys_mx8500
网件 Rax120v2|qualcommax/ipq807x|netgear_rax120v2
网件 Rbr750|qualcommax/ipq807x|netgear_rbr750
网件 Rbs750|qualcommax/ipq807x|netgear_rbs750
网件 Rbx750|qualcommax/ipq807x|netgear_rbx750
网件 Sxk80|qualcommax/ipq807x|netgear_sxk80
网件 Sxr80|qualcommax/ipq807x|netgear_sxr80
网件 Sxs80|qualcommax/ipq807x|netgear_sxs80
网件 Wax218|qualcommax/ipq807x|netgear_wax218
网件 Wax620|qualcommax/ipq807x|netgear_wax620
网件 Wax630|qualcommax/ipq807x|netgear_wax630
Prpl Haze|qualcommax/ipq807x|prpl_haze
威联通 301w|qualcommax/ipq807x|qnap_301w
红米 Ax6|qualcommax/ipq807x|redmi_ax6
红米 Ax6 Stock|qualcommax/ipq807x|redmi_ax6-stock
Spectrum Sax1v1k|qualcommax/ipq807x|spectrum_sax1v1k
TCL Linkhub Hh500v|qualcommax/ipq807x|tcl_linkhub-hh500v
TP-Link Deco X80 5g|qualcommax/ipq807x|tplink_deco-x80-5g
TP-Link Eap620 Hd V1|qualcommax/ipq807x|tplink_eap620-hd-v1
TP-Link Eap660 Hd V1|qualcommax/ipq807x|tplink_eap660-hd-v1
Verizon Cr1000a|qualcommax/ipq807x|verizon_cr1000a
小米 Ax3600|qualcommax/ipq807x|xiaomi_ax3600
小米 Ax3600 Stock|qualcommax/ipq807x|xiaomi_ax3600-stock
小米 Ax9000|qualcommax/ipq807x|xiaomi_ax9000
小米 Ax9000 Stock|qualcommax/ipq807x|xiaomi_ax9000-stock
云核 Ax880|qualcommax/ipq807x|yuncore_ax880
ZBT Zbt Z800ax|qualcommax/ipq807x|zbtlink_zbt-z800ax
中兴 Mf269|qualcommax/ipq807x|zte_mf269
中兴 Mf269 Stock|qualcommax/ipq807x|zte_mf269-stock
合勤 Nbg7815|qualcommax/ipq807x|zyxel_nbg7815
合勤 Nwa110ax|qualcommax/ipq807x|zyxel_nwa110ax
合勤 Nwa210ax|qualcommax/ipq807x|zyxel_nwa210ax
合勤 Nwax10ax Common|qualcommax/ipq807x|zyxel_nwax10ax_common
ABT Asr3000|mediatek/filogic|abt_asr3000
Acelink Ew 7886cax|mediatek/filogic|acelink_ew-7886cax
宏碁 Predator W6|mediatek/filogic|acer_predator-w6
宏碁 Predator W6d|mediatek/filogic|acer_predator-w6d
宏碁 Predator W6x Stock|mediatek/filogic|acer_predator-w6x-stock
宏碁 Predator W6x Ubootmod|mediatek/filogic|acer_predator-w6x-ubootmod
宏碁 Vero W6m|mediatek/filogic|acer_vero-w6m
AirPi Ap3000m|mediatek/filogic|airpi_ap3000m
Alwaylink M01k43|mediatek/filogic|alwaylink_m01k43
智易 Mozart|mediatek/filogic|arcadyan_mozart
AsiaRF Ap7986 003|mediatek/filogic|asiarf_ap7986-003
华硕 Rt Ax52|mediatek/filogic|asus_rt-ax52
华硕 Rt Ax57m|mediatek/filogic|asus_rt-ax57m
华硕 Rt Ax59u|mediatek/filogic|asus_rt-ax59u
华硕 Tuf Ax4200|mediatek/filogic|asus_tuf-ax4200
华硕 Tuf Ax4200q|mediatek/filogic|asus_tuf-ax4200q
华硕 Tuf Ax6000|mediatek/filogic|asus_tuf-ax6000
华硕 Zenwifi Bt8|mediatek/filogic|asus_zenwifi-bt8
华硕 Zenwifi Bt8 Ubootmod|mediatek/filogic|asus_zenwifi-bt8-ubootmod
香蕉派 Bpi R3|mediatek/filogic|bananapi_bpi-r3
香蕉派 Bpi R3 Mini|mediatek/filogic|bananapi_bpi-r3-mini
香蕉派 Bpi R4|mediatek/filogic|bananapi_bpi-r4
香蕉派 Bpi R4 Lite|mediatek/filogic|bananapi_bpi-r4-lite
香蕉派 Bpi R4 Poe|mediatek/filogic|bananapi_bpi-r4-poe
Bazis Ax3000wm|mediatek/filogic|bazis_ax3000wm
巴法络 Wsr 3000ax4p|mediatek/filogic|buffalo_wsr-3000ax4p
巴法络 Wsr 6000ax8|mediatek/filogic|buffalo_wsr-6000ax8
Cetron Ct3003|mediatek/filogic|cetron_ct3003
Cetron Ct3003 Ubootmod|mediatek/filogic|cetron_ct3003-ubootmod
中国移动 A10 Stock|mediatek/filogic|cmcc_a10-stock
中国移动 A10 Ubootmod|mediatek/filogic|cmcc_a10-ubootmod
中国移动 Rax3000m|mediatek/filogic|cmcc_rax3000m
中国移动 Rax3000me|mediatek/filogic|cmcc_rax3000me
Comfast Cf E393ax|mediatek/filogic|comfast_cf-e393ax
Comfast Cf Wr632ax|mediatek/filogic|comfast_cf-wr632ax
Comfast Cf Wr632ax Ubootmod|mediatek/filogic|comfast_cf-wr632ax-ubootmod
Comfast Cf Xr186|mediatek/filogic|comfast_cf-xr186
ConfiaBits Mt7981|mediatek/filogic|confiabits_mt7981
CreatLan Clt R30b1|mediatek/filogic|creatlentem_clt-r30b1
CreatLan Clt R30b1 112m|mediatek/filogic|creatlentem_clt-r30b1-112m
CreatLan Clt R30b1 Ubi|mediatek/filogic|creatlentem_clt-r30b1-ubi
Cudy Ap3000 V1|mediatek/filogic|cudy_ap3000-v1
Cudy Ap3000outdoor V1|mediatek/filogic|cudy_ap3000outdoor-v1
Cudy Ap3000wall V1|mediatek/filogic|cudy_ap3000wall-v1
Cudy M3000 V1|mediatek/filogic|cudy_m3000-v1
Cudy M3000 V1 Ubootmod|mediatek/filogic|cudy_m3000-v1-ubootmod
Cudy M3000 V2 Yt8821|mediatek/filogic|cudy_m3000-v2-yt8821
Cudy M3000 V2 Yt8821 Ubootmod|mediatek/filogic|cudy_m3000-v2-yt8821-ubootmod
Cudy Re3000 V1|mediatek/filogic|cudy_re3000-v1
Cudy Tr3000 256mb V1|mediatek/filogic|cudy_tr3000-256mb-v1
Cudy Tr3000 V1|mediatek/filogic|cudy_tr3000-v1
Cudy Tr3000 V1 Ubootmod|mediatek/filogic|cudy_tr3000-v1-ubootmod
Cudy Wbr3000uax V1|mediatek/filogic|cudy_wbr3000uax-v1
Cudy Wbr3000uax V1 Ubootmod|mediatek/filogic|cudy_wbr3000uax-v1-ubootmod
Cudy Wr3000 V1|mediatek/filogic|cudy_wr3000-v1
Cudy Wr3000e V1|mediatek/filogic|cudy_wr3000e-v1
Cudy Wr3000e V1 Ubootmod|mediatek/filogic|cudy_wr3000e-v1-ubootmod
Cudy Wr3000h V1|mediatek/filogic|cudy_wr3000h-v1
Cudy Wr3000h V1 Ubootmod|mediatek/filogic|cudy_wr3000h-v1-ubootmod
Cudy Wr3000p V1|mediatek/filogic|cudy_wr3000p-v1
Cudy Wr3000p V1 Ubootmod|mediatek/filogic|cudy_wr3000p-v1-ubootmod
Cudy Wr3000s V1|mediatek/filogic|cudy_wr3000s-v1
Cudy Wr3000s V1 Ubootmod|mediatek/filogic|cudy_wr3000s-v1-ubootmod
Dlink Aquila Pro Ai E30 A1|mediatek/filogic|dlink_aquila-pro-ai-e30-a1
Dlink Aquila Pro Ai M30 A1|mediatek/filogic|dlink_aquila-pro-ai-m30-a1
Dlink Aquila Pro Ai M60 A1|mediatek/filogic|dlink_aquila-pro-ai-m60-a1
智邦 Eap111|mediatek/filogic|edgecore_eap111
日电 Wrc X3000gs3|mediatek/filogic|elecom_wrc-x3000gs3
日电 Wrc X6000gsd|mediatek/filogic|elecom_wrc-x6000gsd
日电 Wrc X6000qs|mediatek/filogic|elecom_wrc-x6000qs
Gato Gdsp|mediatek/filogic|gatonetworks_gdsp
GL.iNet Gl Mt2500|mediatek/filogic|glinet_gl-mt2500
GL.iNet Gl Mt2500 Airoha|mediatek/filogic|glinet_gl-mt2500-airoha
GL.iNet Gl Mt3000|mediatek/filogic|glinet_gl-mt3000
GL.iNet Gl Mt3600be|mediatek/filogic|glinet_gl-mt3600be
GL.iNet Gl Mt6000|mediatek/filogic|glinet_gl-mt6000
GL.iNet Gl X3000|mediatek/filogic|glinet_gl-x3000
GL.iNet Gl Xe3000|mediatek/filogic|glinet_gl-xe3000
Globitel Bt R320|mediatek/filogic|globitel_bt-r320
华三 Magic Nx30 Pro|mediatek/filogic|h3c_magic-nx30-pro
Huasifei Wh3000 Emmc|mediatek/filogic|huasifei_wh3000-emmc
Huasifei Wh3000 Pro Emmc|mediatek/filogic|huasifei_wh3000-pro-emmc
Huasifei Wh3000 Pro Nand|mediatek/filogic|huasifei_wh3000-pro-nand
Huasifei Wh3000r Nand|mediatek/filogic|huasifei_wh3000r-nand
乐橙 Hx21|mediatek/filogic|imou_hx21
ipTIME Ax3000m|mediatek/filogic|iptime_ax3000m
ipTIME Ax3000q|mediatek/filogic|iptime_ax3000q
ipTIME Ax3000se|mediatek/filogic|iptime_ax3000se
ipTIME Ax3000sm|mediatek/filogic|iptime_ax3000sm
ipTIME Ax7800m 6e|mediatek/filogic|iptime_ax7800m-6e
JCG Q30 Pro|mediatek/filogic|jcg_q30-pro
京东云 Re Cp 03|mediatek/filogic|jdcloud_re-cp-03
Jio Ax6000 Jidu6101|mediatek/filogic|jiorouter_ax6000-jidu6101
KebiduMei Ax3000 U22|mediatek/filogic|kebidumei_ax3000-u22
Keenetic Kap 630|mediatek/filogic|keenetic_kap-630
Keenetic Kn 1812|mediatek/filogic|keenetic_kn-1812
Keenetic Kn 3711|mediatek/filogic|keenetic_kn-3711
Keenetic Kn 3811|mediatek/filogic|keenetic_kn-3811
Keenetic Kn 3911|mediatek/filogic|keenetic_kn-3911
康佳 Komi A31|mediatek/filogic|konka_komi-a31
Livinet Li320|mediatek/filogic|livinet_li320
Livinet Zr 3020|mediatek/filogic|livinet_zr-3020
Livinet Zr 3020 Ubootmod|mediatek/filogic|livinet_zr-3020-ubootmod
联发科 Mt7981 Rfb|mediatek/filogic|mediatek_mt7981-rfb
联发科 Mt7986a Rfb Nand|mediatek/filogic|mediatek_mt7986a-rfb-nand
联发科 Mt7986b Rfb|mediatek/filogic|mediatek_mt7986b-rfb
联发科 Mt7987a Rfb|mediatek/filogic|mediatek_mt7987a-rfb
联发科 Mt7988a Rfb|mediatek/filogic|mediatek_mt7988a-rfb
MERCUSYS Mr80x V3|mediatek/filogic|mercusys_mr80x-v3
MERCUSYS Mr85x|mediatek/filogic|mercusys_mr85x
MERCUSYS Mr90x V1|mediatek/filogic|mercusys_mr90x-v1
MERCUSYS Mr90x V1 Ubi|mediatek/filogic|mercusys_mr90x-v1-ubi
磊科 N60|mediatek/filogic|netcore_n60
网件 Wax220|mediatek/filogic|netgear_wax220
360 360t7|mediatek/filogic|qihoo_360t7
Routerich Ax3000|mediatek/filogic|routerich_ax3000
SmartRG Sdg 8612|mediatek/filogic|smartrg_sdg-8612
SmartRG Sdg 8614|mediatek/filogic|smartrg_sdg-8614
SmartRG Sdg 8622|mediatek/filogic|smartrg_sdg-8622
SmartRG Sdg 8632|mediatek/filogic|smartrg_sdg-8632
TP-Link Tl Xdr4288|mediatek/filogic|tplink_tl-xdr4288
TP-Link Tl Xdr6086|mediatek/filogic|tplink_tl-xdr6086
TP-Link Tl Xdr6088|mediatek/filogic|tplink_tl-xdr6088
Ubiquiti Unifi 6 Plus|mediatek/filogic|ubnt_unifi-6-plus
UniElec U7981 01 Emmc|mediatek/filogic|unielec_u7981-01-emmc
UniElec U7981 01 Nand|mediatek/filogic|unielec_u7981-01-nand
小米 Mi Router Ax3000t|mediatek/filogic|xiaomi_mi-router-ax3000t
小米 Mi Router Ax3000t Ubootmod|mediatek/filogic|xiaomi_mi-router-ax3000t-ubootmod
小米 Mi Router Wr30u Stock|mediatek/filogic|xiaomi_mi-router-wr30u-stock
小米 Mi Router Wr30u Ubootmod|mediatek/filogic|xiaomi_mi-router-wr30u-ubootmod
小米 Redmi Router Ax6000 Stock|mediatek/filogic|xiaomi_redmi-router-ax6000-stock
小米 Redmi Router Ax6000 Ubootmod|mediatek/filogic|xiaomi_redmi-router-ax6000-ubootmod
云核 Ax835|mediatek/filogic|yuncore_ax835
ZBT Zbt Z8102ax|mediatek/filogic|zbtlink_zbt-z8102ax
ZBT Zbt Z8103ax|mediatek/filogic|zbtlink_zbt-z8103ax
合勤 Ex5601 T0 Stock|mediatek/filogic|zyxel_ex5601-t0-stock
合勤 Ex5601 T0 Ubootmod|mediatek/filogic|zyxel_ex5601-t0-ubootmod
合勤 Ex5700 Telenor|mediatek/filogic|zyxel_ex5700-telenor
合勤 Nwa50ax Pro|mediatek/filogic|zyxel_nwa50ax-pro
ADSLR G7|ramips/mt7621|adslr_g7
AFoundry Ew1200|ramips/mt7621|afoundry_ew1200
阿尔法 Ax1800rm|ramips/mt7621|alfa-network_ax1800rm
阿尔法 Quad E4g|ramips/mt7621|alfa-network_quad-e4g
Amped Ally 00x19k|ramips/mt7621|ampedwireless_ally-00x19k
Amped Ally R1900k|ramips/mt7621|ampedwireless_ally-r1900k
智易 We420223 99|ramips/mt7621|arcadyan_we420223-99
AsiaRF Ap7621 001|ramips/mt7621|asiarf_ap7621-001
AsiaRF Ap7621 Nv1|ramips/mt7621|asiarf_ap7621-nv1
华硕 Rp Ac56|ramips/mt7621|asus_rp-ac56
华硕 Rp Ac87|ramips/mt7621|asus_rp-ac87
华硕 Rt Ac57u V1|ramips/mt7621|asus_rt-ac57u-v1
华硕 Rt Ac65p|ramips/mt7621|asus_rt-ac65p
华硕 Rt Ac85p|ramips/mt7621|asus_rt-ac85p
华硕 Rt Ax53u|ramips/mt7621|asus_rt-ax53u
华硕 Rt Ax54|ramips/mt7621|asus_rt-ax54
华硕 Rt N56u B1|ramips/mt7621|asus_rt-n56u-b1
Beeline Smartbox Flash|ramips/mt7621|beeline_smartbox-flash
Beeline Smartbox Giga|ramips/mt7621|beeline_smartbox-giga
Beeline Smartbox Pro|ramips/mt7621|beeline_smartbox-pro
Beeline Smartbox Turbo|ramips/mt7621|beeline_smartbox-turbo
Beeline Smartbox Turbo Plus|ramips/mt7621|beeline_smartbox-turbo-plus
Belkin Rt1800|ramips/mt7621|belkin_rt1800
Bolt Arion|ramips/mt7621|bolt_arion
巴法络 Wsr 1166dhp|ramips/mt7621|buffalo_wsr-1166dhp
巴法络 Wsr 2533dhpl|ramips/mt7621|buffalo_wsr-2533dhpl
巴法络 Wsr 600dhp|ramips/mt7621|buffalo_wsr-600dhp
Comfast Cf E390ax|ramips/mt7621|comfast_cf-e390ax
Comfast Cf Ew72 V2|ramips/mt7621|comfast_cf-ew72-v2
Cudy M1800|ramips/mt7621|cudy_m1800
Cudy Wr1300 V1|ramips/mt7621|cudy_wr1300-v1
Cudy Wr1300 V2|ramips/mt7621|cudy_wr1300-v2
Cudy Wr1300 V3|ramips/mt7621|cudy_wr1300-v3
Cudy Wr2100|ramips/mt7621|cudy_wr2100
Cudy X6 V1|ramips/mt7621|cudy_x6-v1
Cudy X6 V2|ramips/mt7621|cudy_x6-v2
D-Team Newifi D2|ramips/mt7621|d-team_newifi-d2
D-Team Pbr M1|ramips/mt7621|d-team_pbr-m1
Dlink Covr X1860 A1|ramips/mt7621|dlink_covr-x1860-a1
Dlink Dap 1620 B1|ramips/mt7621|dlink_dap-1620-b1
Dlink Dap X1860 A1|ramips/mt7621|dlink_dap-x1860-a1
Dlink Dir 1935 A1|ramips/mt7621|dlink_dir-1935-a1
Dlink Dir 1960 A1|ramips/mt7621|dlink_dir-1960-a1
Dlink Dir 2640 A1|ramips/mt7621|dlink_dir-2640-a1
Dlink Dir 2660 A1|ramips/mt7621|dlink_dir-2660-a1
Dlink Dir 3060 A1|ramips/mt7621|dlink_dir-3060-a1
Dlink Dir 853 A1|ramips/mt7621|dlink_dir-853-a1
Dlink Dir 853 A3|ramips/mt7621|dlink_dir-853-a3
Dlink Dir 853 R1|ramips/mt7621|dlink_dir-853-r1
Dlink Dir 860l B1|ramips/mt7621|dlink_dir-860l-b1
Dlink Dir 867 A1|ramips/mt7621|dlink_dir-867-a1
Dlink Dir 878 A1|ramips/mt7621|dlink_dir-878-a1
Dlink Dir 878 R1|ramips/mt7621|dlink_dir-878-r1
Dlink Dir 882 A1|ramips/mt7621|dlink_dir-882-a1
Dlink Dir 882 R1|ramips/mt7621|dlink_dir-882-r1
Dual-Q H721|ramips/mt7621|dual-q_h721
Edimax Ra21s|ramips/mt7621|edimax_ra21s
Edimax Re23s|ramips/mt7621|edimax_re23s
Edimax Rg21s|ramips/mt7621|edimax_rg21s
日电 Wrc 1167ghbk2 S|ramips/mt7621|elecom_wrc-1167ghbk2-s
日电 Wrc 1167gs2 B|ramips/mt7621|elecom_wrc-1167gs2-b
日电 Wrc 1167gst2|ramips/mt7621|elecom_wrc-1167gst2
日电 Wrc 1750gs|ramips/mt7621|elecom_wrc-1750gs
日电 Wrc 1750gst2|ramips/mt7621|elecom_wrc-1750gst2
日电 Wrc 1750gsv|ramips/mt7621|elecom_wrc-1750gsv
日电 Wrc 1900gst|ramips/mt7621|elecom_wrc-1900gst
日电 Wrc 2533ghbk I|ramips/mt7621|elecom_wrc-2533ghbk-i
日电 Wrc 2533ghbk2 T|ramips/mt7621|elecom_wrc-2533ghbk2-t
日电 Wrc 2533gs2|ramips/mt7621|elecom_wrc-2533gs2
日电 Wrc 2533gst|ramips/mt7621|elecom_wrc-2533gst
日电 Wrc 2533gst2|ramips/mt7621|elecom_wrc-2533gst2
Etisalat S3|ramips/mt7621|etisalat_s3
Firefly Firewrt|ramips/mt7621|firefly_firewrt
Gehua Ghl R 001|ramips/mt7621|gehua_ghl-r-001
GL.iNet Gl Mt1300|ramips/mt7621|glinet_gl-mt1300
GnuBee Gb Pc1|ramips/mt7621|gnubee_gb-pc1
GnuBee Gb Pc2|ramips/mt7621|gnubee_gb-pc2
华三 Tx1800 Plus|ramips/mt7621|h3c_tx1800-plus
华三 Tx1801 Plus|ramips/mt7621|h3c_tx1801-plus
华三 Tx1806|ramips/mt7621|h3c_tx1806
